image_id,image_height,image_width,object_id,class,xmin,ymin,xmax,ymax
5301073148,1936,2592,0,fip,562,1261,640,1335
5301073148,1936,2592,0,fip,804,1034,880,1106
5301073148,1936,2592,0,fip,566,1034,642,1106
4821931054,1024,681,1,fip,487,791,509,816
4821931054,1024,681,1,fip,487,718,509,743
4821931054,1024,681,1,fip,557,711,579,736
3346775330,732,1024,3,fip,22,661,42,681
3346775330,732,1024,3,fip,22,702,42,722
3346775330,732,1024,3,fip,63,661,82,681
3424245467,1360,2048,5,fip,1236,647,1319,729
3424245467,1360,2048,5,fip,1230,1038,1311,1117
3424245467,1360,2048,5,fip,1626,647,1706,728
5164857092,576,1024,6,fip,53,296,59,304
5164857092,576,1024,6,fip,75,263,82,271
5164857092,576,1024,6,fip,52,263,58,272
3552874141,425,640,7,fip,29,247,93,311
3552874141,425,640,7,fip,29,78,93,142
3552874141,425,640,7,fip,199,78,263,142
2198403406,1360,2048,10,fip,1137,847,1176,883
2198403406,1360,2048,10,fip,1138,662,1179,701
2198403406,1360,2048,10,fip,1338,660,1380,698
4043359287,2048,1536,11,fip,642,749,718,838
4043359287,2048,1536,11,fip,847,563,936,650
4043359287,2048,1536,11,fip,832,767,918,853
3989206756,1024,768,13,fip,154,524,166,536
3989206756,1024,768,13,fip,155,556,167,568
3989206756,1024,768,13,fip,188,524,199,535
3360040540,768,1024,15,fip,99,128,146,176
3360040540,768,1024,15,fip,103,309,151,358
3360040540,768,1024,15,fip,272,133,316,179
4747076605,3456,5184,16,fip,2391,2193,2508,2317
4747076605,3456,5184,16,fip,2389,1742,2505,1865
4747076605,3456,5184,16,fip,2821,1736,2935,1858
2928308769,768,1024,17,fip,606,168,657,219
2928308769,768,1024,17,fip,452,335,503,385
2928308769,768,1024,17,fip,446,174,497,227
2973699715,240,400,18,fip,324,51,329,57
2973699715,240,400,18,fip,324,24,330,30
2973699715,240,400,18,fip,350,25,355,30
4688840372,1936,2576,20,fip,178,391,374,536
4688840372,1936,2576,20,fip,563,183,752,312
4688840372,1936,2576,20,fip,817,387,1022,530
3002670645,1536,2048,22,fip,738,552,836,651
3002670645,1536,2048,22,fip,737,805,834,902
3002670645,1536,2048,22,fip,990,554,1089,652
0425608272,1280,960,24,fip,345,733,385,762
0425608272,1280,960,24,fip,535,600,569,624
0425608272,1280,960,24,fip,367,602,403,627
5326668891,1024,768,25,fip,574,641,590,657
5326668891,1024,768,25,fip,525,690,540,706
5326668891,1024,768,25,fip,527,639,538,653
5330422656,768,1024,27,fip,645,435,700,488
5330422656,768,1024,27,fip,648,310,702,361
5330422656,768,1024,27,fip,785,300,839,352
3950836668,768,1024,28,fip,657,325,664,338
3950836668,768,1024,28,fip,656,378,664,392
3950836668,768,1024,28,fip,688,325,695,338
4160076127,1024,768,29,fip,120,466,232,578
4160076127,1024,768,29,fip,123,132,233,241
4160076127,1024,768,29,fip,459,139,566,247
4298012464,768,1024,31,fip,204,262,232,295
4298012464,768,1024,31,fip,208,338,239,367
4298012464,768,1024,31,fip,275,254,302,287
5011786146,4000,3000,32,fip,1630,1694,1707,1772
5011786146,4000,3000,32,fip,1628,1494,1707,1572
5011786146,4000,3000,32,fip,1829,1493,1906,1571
3831773252,2592,3888,35,fip,915,1355,1015,1455
3831773252,2592,3888,35,fip,1221,1679,1320,1778
3831773252,2592,3888,35,fip,1232,1365,1330,1464
4142786699,3040,2280,36,fip,604,1413,848,1652
4142786699,3040,2280,36,fip,1387,614,1633,857
4142786699,3040,2280,36,fip,593,623,839,866
4910219202,1360,2048,37,fip,1701,699,1735,738
4910219202,1360,2048,37,fip,1905,479,1947,524
4910219202,1360,2048,37,fip,1702,495,1734,533
4247266998,1024,685,38,fip,432,376,514,438
4247266998,1024,685,38,fip,218,540,298,598
4247266998,1024,685,38,fip,266,416,349,479
4690553670,1536,2048,39,fip,1596,371,1663,452
4690553670,1536,2048,39,fip,1566,555,1631,637
4690553670,1536,2048,39,fip,1746,394,1822,483
2261064777,640,384,40,fip,283,490,296,501
2261064777,640,384,40,fip,285,536,298,548
2261064777,640,384,40,fip,331,490,343,501
1125952233,1360,2048,42,fip,788,807,828,846
1125952233,1360,2048,42,fip,980,619,1019,658
1125952233,1360,2048,42,fip,787,617,826,656
5296790826,768,1024,43,fip,381,488,479,584
5296790826,768,1024,43,fip,125,231,229,335
5296790826,768,1024,43,fip,126,490,229,589
1840578464,480,640,46,fip,115,94,194,174
1840578464,480,640,46,fip,349,108,418,183
1840578464,480,640,46,fip,342,331,409,403
2964565796,3264,2448,47,fip,983,1704,1130,1869
2964565796,3264,2448,47,fip,1004,1116,1163,1278
2964565796,3264,2448,47,fip,1538,1151,1674,1323
2854521482,2592,1944,48,fip,1150,1525,1202,1575
2854521482,2592,1944,48,fip,1157,1310,1210,1361
2854521482,2592,1944,48,fip,1384,1316,1439,1368
0459198815,960,1280,49,fip,737,452,778,494
0459198815,960,1280,49,fip,570,607,607,648
0459198815,960,1280,49,fip,575,442,612,483
4195660045,1936,2592,50,fip,981,877,1032,926
4195660045,1936,2592,50,fip,974,691,1025,742
4195660045,1936,2592,50,fip,1165,688,1215,738
4441756800,1944,2592,51,fip,1713,808,1789,886
4441756800,1944,2592,51,fip,1907,1014,1981,1093
4441756800,1944,2592,51,fip,1712,1010,1789,1090
2238679342,2136,2848,54,fip,2520,1525,2587,1593
2238679342,2136,2848,54,fip,2279,1831,2351,1903
2238679342,2136,2848,54,fip,2253,1537,2321,1606
